	minimum	maximum
MMSAD1	0.0	0.0
PPCOAC	0.0	0.0
KARI_1	0.0	1000.0
KARI_23dhmp_1	0.0	1000.0
HCITS	0.012138465842790897	0.013487184269767595
AATA	0.012138465842790897	0.013487184269767595
AASAD1	0.0	0.15615487366196362
SACCD1	0.012138465842790897	0.013487184269767577
LYSDC	0.0	0.0
AASAD3	0.0	0.22209384465016735
AASAD2	0.0	0.23423231049294646
OXOADLR	0.0	0.0
GLCOASYNT	0.0	0.0
GLUTCOADHc	0.0	0.0
ECOAH1	0.0	0.0
ACACCT	0.0	0.0
ACGS	0.0	0.004826976505039961
ACGK	0.00434900490728653	0.00483222767476281
AGPR	-0.004832227674762782	-0.00434900490728653
ACOTA	-0.004832227674762787	-0.00434900490728653
ORNTAC	0.0	0.004832227674762782
OCBT	0.00434900490728653	0.004832227674762787
ACODA	0.0	0.004826976505039961
ARGN	0.0	0.0
GLU5K	0.004692032290815671	0.005213369212017411
G5SD	0.004692032290815671	0.005213369212017386
PRO1y	-0.4488797215907874	-0.004692032290815671
PRO1x	0.0	0.4441876892999717
ORNDC	0.0	0.0
SPRMS	0.0	0.0
G5SADs	0.004692032290815671	0.005213369212017386
ABTA	0.0	0.0
GACMTRc	0.0	0.0
CMPA_1	0.0	0.0
PTRCAT1	0.0	0.0
AABHH	0.0	0.0
ATPPRT	0.0022372764370468595	0.0024858627078298313
PRATPP	0.0022372764370468595	0.0024858627078298313
PRMICI	0.0022372764370468595	0.0024858627078298313
IGPDH	0.0022372764370468595	0.0024858627078298313
HSTPT	0.0022372764370468595	0.0024858627078298313
HISTP	0.0022372764370468595	0.0024858627078298313
HISTD	0.0022372764370468595	0.0024858627078298313
PRAMPC	0.0022372764370468595	0.0024858627078298313
IG3PS	0.0022372764370468595	0.0024858627078298313
DDPA	0.013017093243600838	0.01446343693733419
DHQS	0.013017093243600838	0.014463436937334189
DHQTi	0.013017093243600838	0.014463436937334189
SHK3Dr	0.013017093243600838	0.014463436937334189
SHKK	0.013017093243600838	0.014463436937334189
PSCVT	0.013017093243600838	0.014463436937334189
CHORS	0.013017093243600838	0.014463436937334189
CHORM	0.0119436984116553	0.013270776012950264
PPND2	-0.4380363806802493	0.0068347873552963906
TYRTA	-0.006834787355296383	-0.0061513086197667825
PHETA1	-0.006435988657653873	-0.005792389791888516
AROH	0.0	0.0
PPNDH	0.005792389791888516	0.006435988657653867
ANS	0.001073394831945538	0.001192660924383925
ANPRT	0.001073394831945538	0.001192660924383925
PRAIi	0.001073394831945538	0.001192660924383925
IGPS	0.001073394831945538	0.0011926609243839252
TRPAS2	-0.0011926609243839237	0.0493664774220703
INDPYRD	0.0	0.0
NTRLASE	0.0	0.0
ALDD20x	0.0	0.0
ALDD20y	0.0	0.0
FKYNH	0.0	0.0
KYNAKGAT	0.0	0.0
3HKYNAKGAT	0.0	0.0
3HXKYNDCL	0.0	0.0
HACD1	-0.4441876892999913	0.0
HBCO_nadp	0.0	0.44418768930001706
EX_ac_e	0.5543107775918178	0.711876893
EX_cellb_e	-0.75	-0.75
EX_co2_e	0.05168576803755027	0.624571863754033
EX_etoh_e	0.6776265740682026	1.013514567
EX_for_e	1.087540278	1.4036434977059995
EX_fru_e	0.0	0.0
EX_gal_e	0.0	0.0
EX_glc__D_e	0.0	0.0
EX_h_e	2.8696546559765084	3.5248495615987387
EX_h2_e	0.047483008	0.189248895
EX_h2o_e	-0.8744774113273384	-0.6108302238953449
EX_lac__D_e	0.7533116770682018	1.08919967
EX_lac__L_e	0.0	0.0
EX_man_e	0.0	0.0
EX_nh4_e	-0.2958216168769689	-0.2637321757114345
EX_pi_e	-0.05783292069185855	-0.05204962862267484
EX_rib__D_e	0.0	0.0
EX_xyl__D_e	0.0	0.0
EX_gly_e	0.0	0.0
EX_ala__L_e	0.0	0.0
EX_val__L_e	0.0	0.0
EX_leu__L_e	0.0	0.0
EX_met__L_e	0.0	0.0
EX_ile__L_e	0.0	0.0
EX_ser__L_e	0.0	0.0
EX_thr__L_e	0.0	0.0
EX_cys__L_e	-0.010417634947317792	0.0
EX_pro__L_e	0.0	0.0
EX_asn__L_e	0.0	0.0
EX_gln__L_e	0.0	0.0
EX_phe__L_e	0.0	0.0
EX_tyr__L_e	0.0	0.0
EX_trp__L_e	0.0	0.0
EX_lys__L_e	0.0	0.0
