reaction_id	flux
THMP	3.9148e-06
DHNPA2r	3.9148e-06
HPPK2	3.9148e-06
APRAUR	3.9148e-06
PMDPHT	3.9148e-06
DHPPDA2	3.9148e-06
GTPCII2	3.9148e-06
DHFS	3.9148e-06
PYDXPP	3.9148e-06
PYDXOR	3.9148e-06
HPYRDC	-3.9148e-06
GLYCK2	3.9148e-06
OPMEACPR	3.9148e-06
TMPPP	3.9148e-06
RBFSb	3.9148e-06
