	minimum	maximum
EX_sucr_e	0.0	0.0
EX_arab__L_e	0.0	0.0
EX_arab__D_e	0.0	0.0
EX_rmn_e	0.0	0.0
EX_pyr_e	0.0	0.0
EX_succ_e	0.02143	0.04529
EX_cit_e	0.0	0.0
EX_glyc_e	0.0	0.0
EX_4abz_e	-3.977310475960368e-06	-3.579579428363011e-06
EX_fum_e	0.0	0.0
EX_ppi_e	0.0	0.0
EX_hco3_e	0.0	0.0
EX_h2s_e	0.0	0.0
EX_k_e	0.0	0.0
EX_ca2_e	0.0	0.0
EX_na1_e	0.0	0.0
EX_mg2_e	0.0	0.0
EX_so4_e	0.0	0.0
EX_pectin_e	0.0	0.0
EX_acgam_e	0.0	0.0
EX_dextrin_e	0.0	0.0
EX_raffin_e	0.0	0.0
EX_oaa_e	0.0	0.0
EX_pheme_e	-3.977310475959702e-06	-3.5795794283637324e-06
EX_mal__L_e	0.0	0.0
EX_3mop_e	0.0	0.0
EX_ade_e	0.0	0.0
EX_adn_e	0.0	0.0
EX_akg_e	0.0	0.0
EX_amet_e	0.0	0.0
EX_btn_e	0.0	0.0
EX_chol_e	0.0	0.0
EX_csn_e	0.0	0.0
EX_cytd_e	0.0	0.0
EX_etha_e	0.0	0.0
EX_dttp_e	0.0	0.0
EX_duri_e	0.0	0.0
EX_dcyt_e	0.0	0.0
EX_dgsn_e	0.0	0.0
EX_gsn_e	0.0	0.0
EX_gua_e	0.0	0.0
EX_hdca_e	0.0	0.0
EX_hxan_e	0.0	0.0
EX_ins_e	0.0	0.0
EX_inost_e	0.0	0.0
EX_melib_e	0.0	0.0
EX_nmn_e	0.0	0.0
EX_mmet_e	0.0	0.0
EX_nac_e	0.0	0.0
EX_nadp_e	0.0	0.0
EX_ocdca_e	0.0	0.0
EX_ttdca_e	0.0	0.0
EX_pnto__R_e	0.0	0.0
EX_orn_e	0.0	0.0
EX_so3_e	-0.010433980327187224	0.0
PPRGL	0.005035304884771583	0.005594783205302753
GARFT	0.005035304884771583	0.00559478320530409
PRFGS	0.005035304884773392	0.00559478320530409
PRFGCL	0.005035304884773392	0.00559478320530409
PRAIC	0.005035304884773392	0.00559478320530409
PRASCSi	0.005035304884773392	0.00559478320530409
ADSL2r	0.005035304884773392	0.00559478320530409
AICART	0.007308282316713493	0.008120313685237536
IMPC	-0.008120313685237013	-0.007308282316711685
NTD11	0.0	0.22102234465000684
PUNP5	-0.44204468930005003	0.2210223446499975
HXPRT	0.0	0.22102234465001783
NTPP6	0.0	0.22102234465000814
ADK1	-2.660663512544174	-1.8814960478517575
NTD7	0.0	0.442044689300004
PUNP1	-0.4420446893000152	0.22102413443969396
ADPT	0.0	0.22102413443971927
PUNP2	-0.11051206721987074	0.1327285025458207
NTD6	0.0	0.13272850254582125
DADK	-0.13272850254582366	0.0
NDPK8	-0.13272850254582125	1000.0
IMPD	9.38112209761093e-05	0.11060498354615267
GMPR	0.0	0.11051117232518534
GMPS2	9.38112209761093e-05	0.11060498354615517
NTD10	0.0	0.22102234465035012
XPPT	0.0	0.2210223446503328
PUNP7	-0.4420446893000535	0.22102234465035012
NTPP2	0.0	0.2210223446503441
NDPK1	-1000.0	0.324707685935679
GK1	9.38112210633335e-05	0.4421385005216645
NTD9	0.0	0.2210223446503472
PUNP3	-0.4420446892924621	0.2210223446503472
GPAR	0.0	0.22102234465033344
PUNP4	0.0	0.10209884811220205
NTD8	0.0	0.10209884811216163
DGK1	-0.10209884811220205	0.0
NDPK5	-0.10209884811216863	1000.0
3NUCLE1	0.0	0.0
23CN2P1	0.0	0.0
NDP1	0.0	0.44204468929576496
NTP1	0.0	0.4420446892993368
NDPK9	0.0	0.4420446892993368
ADNCYC	0.0	0.2210223446491968
PDE1	0.0	0.221022344648798
DADA	0.0	0.11051206722321649
PUNP6	0.0	0.11051206721866912
ADD	0.0	0.11051206721865584
ALLTN	0.0	0.0
INSH	0.0	0.44204468929751783
ADA	0.0	0.11051206721984713
ADNUC	0.0	0.44204468929999374
ADNK1	0.0	0.4420482688794083
NTP11	0.0	0.0
NTP10	0.0	0.4420446893000485
IDPA	0.0	0.0
AP4AH1	0.0	0.4420446893000474
NTPP11	0.0	0.0
XTSNH	0.0	0.4420446893000295
GUAD	0.0	0.08840893785998771
GNNUC	0.0	0.4420446893000307
3NUCLE4	0.0	0.0
23CN2P4	0.0	0.0
NDP3	0.0	0.44204468930000207
NTP3	0.0	0.44204468929999474
ATPATF3	0.0	0.0
PPGPPDP	0.0	0.0
GUAC	0.0	0.22102234464999884
PDE4	0.0	0.22102234465001167
NDPK4	0.00016442250830935438	0.4422091118083026
DHORTS	-0.020844708726717728	-0.018760237854045913
DHORD3	0.018760237854045913	0.02084470872671768
NADPHQR	-0.020844708726717728	-0.018760237854045913
ORPT	-0.020844708726717683	-0.018760237854045913
OMPDC	0.018760237854045913	0.02084470872671768
UPPRT	0.0	0.22102234464999884
NTD2	0.0	0.4420446892999958
URIK1	0.0	0.44204468930001517
3NUCLE2	0.0	0.0
23CN2P2	0.0	0.0
CYTD	0.0	0.14734822976668216
PYNP2r	-0.44204468929999396	0.221104555904171
URIH	0.0	0.44204468930000396
YUMPS	0.0	0.0
DURIPP	-0.0001826841257872914	0.1020103129153957
NTD1	0.0	0.442044689300049
DURIK1	0.0	0.442044689300049
TMDS	0.00016442250830935438	0.00018269167589928304
DCYTD	0.0	0.0829861433114355
NTD3	0.0	0.08298614331144062
CYTK2	-0.08298614331144247	0.0
NDPK7	-0.08298614331144062	1000.0
MCSNAH	0.0	0.0
NDP8	0.0	0.10217473542442085
NTP8	0.0	0.08301697253234537
DTMPK	0.00016442250830935438	0.44220911181147365
DTPH	0.0	0.4420446893044465
NTP9	0.0	0.4420446893031643
NTPP7	0.0	0.22102234464999912
TMDK1	0.0	0.44204468929997565
NTD5	0.0	0.4420446892999951
23CN2P3	0.0	0.0
3NUCLE3	0.0	0.0
NTD4	0.0	0.44204468930003255
PYNP1	-0.14734822976666312	0.0
CSND	0.0	0.14734822976666928
CYTDK1	0.0	0.44204468930003915
UMPK	0.01859581534573656	0.4608049271540935
NDPK2	0.01859581534573656	0.4606440842252145
CTPS2	7.566830077071943e-05	0.14747870557020606
NDPK3	-1000.0	0.4467733137248905
CYTK1	-0.1473482297668997	0.44204468930006846
NTPP4	0.0	0.22102234465001677
NTPP8	0.0	0.22102234465000767
NTP7	0.0	0.4420446893000136
NDP7	0.0	0.4420446893000134
NTP5	0.0	0.4420446893000124
CDPPH	0.0	0.44204468930005003
RNDR2	0.0	1000.0
RNTR2	-999.9999266881302	0.10217215998194848
RNDR1	0.0	1000.0
RNTR1	-999.9997978694994	0.13293063304651234
RNDR3	0.0	1000.0
RNTR3	-999.9999377115652	0.08304843174632268
RNDR4	0.0	0.10217473542370066
RNTR4	0.0	0.08301697253175384
APATT	0.0	1000.0
BTPS	0.0	0.4420446892978589
BTP	0.0	0.0
ADATT	-1000.0	0.0
HMPK1	0.0	3.977310475959702e-06
HMPK2	0.0	3.977310475959702e-06
HMPK3	0.0	3.977310475959702e-06
HMPK4	0.0	3.977310475959702e-06
PMPK	3.5795794283637324e-06	3.977310475959702e-06
TYRL	0.0	0.0
HETZK	3.5795794283637324e-06	3.977310475959702e-06
THMP	3.5795794283637324e-06	3.977310475959702e-06
TMPPP	3.5795794283637324e-06	3.977310475959702e-06
TMPPP_1	0.0	0.0
TMDPK	0.0	0.0
TMDPPK	0.0	0.0
PYDXS	3.5795794283637324e-06	3.977310475959702e-06
GLYCK2	0.0	0.2210259242294358
HPYRDC	-3.977310475958721e-06	-3.579579428363011e-06
PDXPP	0.0	0.44204468930001567
PYDXNK	0.0	0.44204468930004126
PYDXOR	3.5795794283637324e-06	3.977310475959711e-06
PYDXK	0.0	0.44204468930004126
PYDXPP	3.5795794283637324e-06	0.44204826887943205
PDYXPT_c	0.0	0.0
PYDAMK	0.0	0.4420446893000485
HYPOE	0.0	0.4420446893000037
OHPBAT	0.0	0.0
4HTHRS	0.0	0.0
DB4PS	7.159158856727465e-06	7.954620951919422e-06
RBFSa	7.159158856727465e-06	7.954620951919404e-06
RBFSb	3.5795794283637324e-06	3.977310475959702e-06
ACP1_FMN	0.0	0.44204468930004126
RBFK	0.0	0.44204468930001245
FADDP	0.0	0.22102234465001658
FMNAT	0.0	0.22102234465000015
FMNRx	0.0	0.0
FMNRx2	0.0	0.0
GTPCII2	3.5795794283637324e-06	3.977310475959702e-06
DHPPDA2	3.5795794283637324e-06	3.977310475959702e-06
PMDPHT	3.5795794283637324e-06	3.977310475959702e-06
APRAUR	3.5795794283637324e-06	3.977310475959702e-06
PNP	0.0	0.0
NMNHYD	0.0	0.44204468930004126
NP1	0.0	0.0
NT5C	0.0	0.0
