	minimum	maximum
ACGK	0.004921359597850676	0.005468177330945209
AGPR	-0.005468177330945222	-0.004921359597850676
ACOTA	-0.005468177330945211	-0.004921359597850676
ORNTAC	0.0	0.005468177330945222
OCBT	0.004921359597850676	0.005468177330945211
ACODA	0.0	0.005462466100867953
ARGN	0.0	0.0
GLU5K	0.005309531407780879	0.005899479341978772
G5SD	0.005309531407780879	0.00589947934197875
PRO1y	-0.5283095314078342	-0.005309531407780879
PRO1x	0.0	0.5230000000000533
ORNDC	0.0	0.0
SPRMS	0.0	0.0
G5SADs	0.005309531407780879	0.005899479341978752
ABTA	0.0	0.0
GACMTRc	0.0	0.0
CMPA_1	0.0	0.0
PTRCAT1	0.0	0.0
AABHH	0.0	0.0
ATPPRT	0.0025317152087040206	0.0028130168985600304
PRATPP	0.0025317152087040206	0.0028130168985600304
PRMICI	0.0025317152087040206	0.0028130168985600304
IGPDH	0.0025317152087040206	0.0028130168985600304
HSTPT	0.0025317152087040206	0.0028130168985600304
HISTP	0.0025317152087040206	0.002813016898560021
HISTD	0.0025317152087040206	0.002813016898560025
PRAMPC	0.0025317152087040206	0.002813016898560025
IG3PS	0.0025317152087040206	0.002813016898560025
DDPA	0.014730219472316525	0.016366910524796153
DHQS	0.014730219472316525	0.016366910524796153
DHQTi	0.014730219472316525	0.016366910524796153
SHK3Dr	0.014730219472316525	0.016366910524796153
SHKK	0.014730219472316525	0.016366910524796153
PSCVT	0.014730219472316525	0.016366910524796153
CHORS	0.014730219472316525	0.016366910524796153
CHORM	0.01351555955100261	0.015017288390002912
PPND2	-0.5160391428934435	0.0077342856739251835
TYRTA	-0.00773428567392519	-0.006960857106532659
PHETA1	-0.0072830027160777425	-0.00655470244446995
AROH	0.0	0.0
PPNDH	0.00655470244446995	0.007283002716077718
ANS	0.001214659921313915	0.00134962213479324
ANPRT	0.001214659921313915	0.00134962213479324
PRAIi	0.001214659921313915	0.00134962213479324
IGPS	0.001214659921313915	0.00134962213479324
TRPAS2	-0.0013496221347932453	0.17311867341202417
INDPYRD	0.0	0.0
NTRLASE	0.0	0.0
ALDD20x	0.0	0.0
ALDD20y	0.0	0.0
FKYNH	0.0	0.0
KYNAKGAT	0.0	0.0
3HKYNAKGAT	0.0	0.0
3HXKYNDCL	0.0	0.0
HACD1	-0.5230000000000524	0.0
HBCO_nadp	0.0	0.5229999999999528
EX_ac_e	0.7012800245460695	1.4921405838279056
EX_cellb_e	-0.75	-0.75
EX_co2_e	0.0	1.7513227132451736
EX_etoh_e	0.7312782775993923	1.7772782775993683
EX_for_e	0.8755584142354077	2.644936182254897
EX_fru_e	0.0	0.0
EX_gal_e	0.0	0.0
EX_glc__D_e	0.0	0.0
EX_h_e	1.8521781388934968	4.180072963995134
EX_h2_e	0.0	1.4921405838279236
EX_h2o_e	-1.3493127441809603	-0.8263127441809487
EX_lac__D_e	0.0	1.045999999999959
EX_lac__L_e	0.0	0.0
EX_man_e	0.0	0.0
EX_nh4_e	-0.3391846835661903	-0.29844088518385153
EX_pi_e	-0.06544407407812605	-0.058899666670316736
EX_rib__D_e	0.0	0.0
EX_xyl__D_e	0.0	0.0
EX_gly_e	0.0	0.0
EX_ala__L_e	0.0	0.0
EX_val__L_e	0.0	0.0
EX_leu__L_e	0.0	0.0
EX_met__L_e	0.0	0.0
EX_ile__L_e	0.0	0.0
EX_ser__L_e	0.0	0.0
EX_thr__L_e	0.0	0.0
EX_cys__L_e	-0.011788657136024176	0.0
EX_pro__L_e	0.0	0.0
EX_asn__L_e	0.0	0.0
EX_gln__L_e	0.0	0.0
EX_phe__L_e	0.0	0.0
EX_tyr__L_e	0.0	0.0
EX_trp__L_e	0.0	0.0
EX_lys__L_e	0.0	0.0
EX_arg__L_e	0.0	0.0
EX_his__L_e	0.0	0.0
EX_asp__L_e	0.0	0.0
EX_glu__L_e	0.0	0.0
EX_sbt__D_e	0.0	0.0
EX_malt_e	0.0	0.0
EX_sucr_e	0.0	0.0
EX_arab__L_e	0.0	0.0
EX_arab__D_e	0.0	0.0
EX_rmn_e	0.0	0.0
EX_pyr_e	0.0	0.0
EX_succ_e	7.974100888277769e-06	0.48485291975718486
EX_cit_e	0.0	0.0
EX_glyc_e	0.0	0.0
EX_4abz_e	-4.430056049052158e-06	-3.987050444145823e-06
EX_fum_e	0.0	0.0
EX_ppi_e	0.0	0.0
EX_hco3_e	0.0	0.0
EX_h2s_e	0.0	0.0
EX_k_e	0.0	0.0
EX_ca2_e	0.0	0.0
EX_na1_e	0.0	0.0
EX_mg2_e	0.0	0.0
EX_so4_e	0.0	0.0
EX_pectin_e	0.0	0.0
EX_acgam_e	0.0	0.0
EX_dextrin_e	0.0	0.0
EX_raffin_e	0.0	0.0
EX_oaa_e	0.0	0.0
EX_pheme_e	-4.430056049052032e-06	-3.987050444146831e-06
EX_mal__L_e	0.0	0.0
EX_3mop_e	0.0	0.0
EX_ade_e	0.0	0.0
EX_adn_e	0.0	0.0
EX_akg_e	0.0	0.0
EX_amet_e	0.0	0.0
EX_btn_e	0.0	0.0
EX_chol_e	0.0	0.0
EX_csn_e	0.0	0.0
EX_cytd_e	0.0	0.0
EX_etha_e	0.0	0.0
EX_dttp_e	0.0	0.0
EX_duri_e	0.0	0.0
